iter	Passed	Remaining
0	135	135262
1	136	68026
2	137	45594
3	137	34346
4	138	27574
5	139	23035
6	139	19798
7	140	17373
8	140	15492
9	141	13981
10	141	12752
11	142	11721
12	142	10844
13	143	10094
14	143	9447
15	144	8880
16	144	8377
17	145	7929
18	145	7529
19	146	7169
20	146	6851
21	147	6559
22	148	6290
23	148	6047
24	149	5818
25	149	5608
26	150	5412
27	150	5232
28	151	5062
29	151	4906
30	152	4759
31	152	4622
32	153	4492
33	153	4370
34	154	4254
35	154	4146
36	155	4044
37	155	3946
38	156	3853
39	156	3764
40	157	3679
41	157	3600
42	158	3523
43	158	3449
44	159	3380
45	159	3316
46	160	3253
47	160	3192
48	161	3134
49	162	3080
50	162	3027
51	163	2975
52	163	2925
53	164	2876
54	164	2829
55	165	2784
56	165	2740
57	166	2698
58	166	2657
59	167	2617
60	167	2578
61	167	2541
62	168	2505
63	168	2470
64	169	2436
65	169	2403
66	170	2372
67	170	2338
68	171	2308
69	171	2278
70	172	2250
71	172	2222
72	172	2195
73	173	2170
74	173	2145
75	174	2121
76	174	2097
77	175	2074
78	175	2051
79	176	2029
80	176	2008
81	177	1986
82	177	1966
83	178	1946
84	178	1925
85	179	1905
86	179	1885
87	180	1866
88	180	1848
89	181	1831
90	181	1814
91	182	1796
92	182	1780
93	183	1764
94	183	1748
95	183	1732
96	184	1717
97	184	1702
98	185	1687
99	185	1673
100	186	1659
101	186	1643
102	187	1629
103	187	1616
104	188	1603
105	188	1590
106	189	1578
107	189	1566
108	190	1553
109	190	1541
110	191	1529
111	191	1518
112	191	1506
113	192	1495
114	192	1484
115	193	1472
116	193	1462
117	194	1451
118	194	1440
119	195	1430
120	195	1420
121	195	1410
122	196	1399
123	196	1389
124	197	1379
125	197	1370
126	198	1361
127	198	1351
128	198	1342
129	199	1333
130	199	1325
131	200	1316
132	200	1308
133	201	1300
134	201	1292
135	202	1284
136	202	1276
137	203	1268
138	203	1261
139	204	1253
140	204	1246
141	205	1239
142	205	1231
143	206	1224
144	206	1217
145	206	1210
146	207	1203
147	207	1197
148	208	1190
149	208	1184
150	209	1177
151	209	1171
152	210	1164
153	210	1158
154	211	1152
155	211	1145
156	212	1139
157	212	1134
158	213	1128
159	213	1122
160	214	1117
161	214	1111
162	215	1106
163	215	1100
164	216	1095
165	217	1090
166	217	1085
167	218	1080
168	218	1075
169	219	1070
170	219	1065
171	220	1060
172	220	1055
173	221	1050
174	221	1045
175	222	1041
176	222	1036
177	223	1031
178	223	1027
179	224	1022
180	224	1016
181	225	1012
182	225	1008
183	226	1003
184	226	999
185	227	995
186	227	991
187	228	986
188	229	982
189	229	978
190	230	974
191	230	970
192	231	966
193	231	962
194	232	959
195	232	955
196	233	951
197	233	947
198	234	944
199	235	940
200	235	937
201	236	934
202	237	930
203	237	926
204	238	923
205	238	919
206	239	916
207	239	912
208	240	908
209	240	905
210	241	902
211	241	898
212	242	895
213	242	892
214	243	888
215	243	885
216	244	881
217	244	878
218	245	875
219	245	871
220	246	868
221	246	864
222	247	861
223	247	858
224	248	855
225	248	851
226	249	849
227	249	846
228	250	843
229	250	840
230	251	837
231	251	834
232	252	830
233	252	827
234	253	824
235	253	821
236	254	818
237	254	815
238	255	812
239	255	809
240	256	807
241	256	804
242	257	801
243	257	798
244	258	795
245	258	793
246	259	790
247	259	787
248	260	784
249	260	782
250	261	779
251	261	776
252	262	774
253	262	771
254	263	768
255	263	766
256	264	763
257	264	761
258	265	758
259	265	756
260	266	753
261	266	751
262	267	749
263	267	747
264	268	744
265	269	742
266	269	740
267	270	737
268	270	735
269	271	733
270	271	730
271	272	728
272	272	726
273	273	724
274	273	722
275	274	720
276	275	718
277	275	715
278	276	713
279	276	711
280	277	709
281	277	707
282	278	705
283	279	703
284	279	701
285	280	699
286	280	697
287	281	695
288	281	693
289	282	691
290	282	689
291	283	687
292	283	685
293	284	683
294	285	681
295	285	679
296	286	677
297	286	675
298	287	673
299	287	671
300	288	669
301	288	667
302	289	665
303	290	664
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	652
310	293	651
311	294	649
312	295	647
313	295	645
314	296	643
315	296	641
316	297	640
317	297	638
318	298	636
319	298	635
320	299	633
321	299	631
322	300	629
323	300	627
324	301	626
325	301	624
326	302	622
327	302	620
328	303	618
329	303	617
330	304	615
331	304	613
332	305	611
333	305	610
334	306	608
335	306	606
336	307	604
337	307	603
338	308	601
339	309	599
340	309	598
341	310	596
342	310	595
343	311	593
344	311	591
345	312	590
346	312	588
347	313	586
348	313	585
349	314	583
350	314	581
351	315	580
352	315	578
353	316	576
354	316	575
355	317	573
356	317	571
357	317	570
358	318	568
359	319	567
360	319	565
361	319	563
362	320	562
363	320	560
364	321	559
365	321	557
366	322	555
367	322	554
368	323	552
369	323	551
370	324	549
371	324	548
372	325	546
373	325	545
374	326	543
375	326	541
376	327	540
377	327	538
378	328	537
379	328	536
380	328	534
381	329	533
382	329	531
383	330	530
384	330	528
385	331	527
386	331	525
387	332	524
388	332	522
389	333	521
390	333	520
391	334	518
392	335	517
393	335	516
394	336	514
395	336	513
396	337	512
397	338	511
398	338	510
399	339	508
400	339	507
401	340	506
402	340	505
403	341	503
404	342	502
405	342	501
406	343	500
407	343	498
408	344	497
409	345	496
410	345	495
411	346	493
412	346	492
413	347	491
414	347	490
415	348	489
416	348	487
417	349	486
418	350	485
419	350	484
420	351	482
421	351	481
422	352	480
423	352	479
424	353	478
425	353	476
426	354	475
427	355	474
428	355	473
429	355	471
430	356	470
431	357	469
432	357	468
433	358	467
434	358	465
435	359	464
436	359	463
437	360	462
438	360	461
439	361	459
440	361	458
441	362	457
442	362	456
443	363	454
444	363	453
445	364	452
446	364	451
447	365	450
448	365	448
449	366	447
450	366	446
451	367	445
452	367	444
453	368	442
454	368	441
455	369	440
456	369	439
457	370	438
458	370	436
459	371	435
460	371	434
461	372	433
462	372	432
463	373	430
464	373	429
465	374	428
466	374	427
467	375	426
468	375	425
469	376	424
470	376	423
471	377	421
472	377	420
473	378	419
474	378	418
475	379	417
476	379	416
477	380	415
478	380	413
479	381	412
480	381	411
481	382	410
482	382	409
483	382	408
484	383	407
485	383	406
486	384	404
487	384	403
488	385	402
489	385	401
490	386	400
491	386	399
492	387	398
493	387	397
494	388	396
495	388	394
496	389	393
497	389	392
498	390	391
499	390	390
500	391	389
501	391	388
502	392	387
503	392	386
504	393	385
505	393	384
506	394	383
507	394	382
508	395	381
509	395	380
510	396	378
511	396	377
512	397	376
513	397	375
514	398	374
515	398	373
516	398	372
517	399	371
518	399	370
519	400	369
520	400	368
521	401	367
522	401	366
523	402	365
524	402	364
525	403	363
526	403	362
527	404	361
528	404	360
529	405	359
530	405	358
531	406	357
532	406	356
533	407	355
534	407	354
535	408	353
536	408	352
537	409	351
538	409	350
539	410	349
540	410	348
541	411	347
542	411	346
543	412	345
544	412	344
545	413	343
546	413	342
547	413	341
548	414	340
549	414	339
550	415	338
551	415	337
552	416	336
553	416	335
554	417	334
555	417	333
556	418	332
557	418	331
558	419	330
559	419	329
560	420	328
561	420	327
562	421	327
563	421	326
564	422	325
565	422	324
566	423	323
567	423	322
568	424	321
569	424	320
570	425	319
571	425	318
572	426	317
573	426	316
574	427	315
575	427	314
576	428	314
577	428	313
578	429	312
579	429	311
580	430	310
581	430	309
582	431	308
583	432	307
584	432	306
585	433	305
586	433	305
587	434	304
588	434	303
589	435	302
590	435	301
591	436	300
592	436	299
593	437	298
594	437	297
595	438	297
596	438	296
597	439	295
598	439	294
599	440	293
600	440	292
601	441	291
602	441	290
603	442	289
604	442	288
605	443	288
606	443	287
607	444	286
608	444	285
609	445	284
610	445	283
611	446	282
612	446	281
613	446	281
614	447	280
615	447	279
616	448	278
617	448	277
618	449	276
619	450	275
620	450	274
621	451	274
622	451	273
623	452	272
624	452	271
625	453	270
626	453	269
627	454	269
628	454	268
629	455	267
630	456	266
631	456	265
632	457	265
633	457	264
634	458	263
635	458	262
636	459	261
637	460	261
638	460	260
639	461	259
640	461	258
641	462	257
642	462	256
643	463	256
644	463	255
645	464	254
646	465	253
647	465	252
648	466	252
649	467	251
650	467	250
651	468	249
652	468	249
653	469	248
654	470	247
655	470	246
656	471	246
657	471	245
658	472	244
659	472	243
660	473	242
661	474	242
662	474	241
663	475	240
664	475	239
665	476	238
666	477	238
667	477	237
668	478	236
669	478	235
670	479	235
671	479	234
672	480	233
673	481	232
674	481	231
675	482	231
676	482	230
677	483	229
678	484	228
679	484	228
680	485	227
681	485	226
682	486	225
683	487	225
684	487	224
685	488	223
686	488	222
687	489	221
688	489	221
689	490	220
690	490	219
691	491	218
692	491	217
693	492	217
694	493	216
695	493	215
696	494	214
697	494	214
698	495	213
699	495	212
700	496	211
701	496	210
702	497	210
703	498	209
704	498	208
705	498	207
706	499	207
